,Match_Id,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won,Team_Score
1,335987,1,1,0,51.51515152,50.35971223,50,55.07246377,56.4516129,1,655.0985916
2,335987,2,0,1,50.35971223,51.51515152,50,45.90163934,43.5483871,0,127.8711624
3,335988,3,1,1,60.30534351,47.01492537,58.82352941,63.63636364,58.44155844,1,610.8922421
4,335988,4,0,0,47.01492537,60.30534351,41.17647059,59.375,59.42028986,0,470.5147573
5,335989,5,1,1,53.38983051,42.10526316,62.5,53.96825397,46.2962963,0,53.22570444
6,335989,6,0,0,42.10526316,53.38983051,37.5,56.25,68.42105263,1,426.621145
7,335990,2,1,1,50.35971223,57.14285714,42.10526316,54.09836066,43.5483871,1,440.9469858
8,335990,7,0,0,57.14285714,50.35971223,57.89473684,44.59459459,43.42105263,0,275.8263481
9,335991,1,0,0,51.51515152,38.66666667,77.77777778,44.92753623,56.4516129,1,365.5954246
10,335991,8,1,1,38.66666667,51.51515152,22.22222222,44.18604651,41.86046512,0,158.3587867
11,335992,4,1,1,47.01492537,53.38983051,40,40.625,40.57971014,0,306.6785092
12,335992,5,0,0,53.38983051,47.01492537,60,46.03174603,53.7037037,1,382.0040959
13,335993,6,1,1,42.10526316,38.66666667,63.63636364,43.75,31.57894737,1,497.5696894
14,335993,8,0,0,38.66666667,42.10526316,36.36363636,55.81395349,58.13953488,0,222.5286101
15,335994,3,0,1,60.30534351,57.14285714,45.45454545,36.36363636,58.44155844,1,519.6985824
16,335994,7,1,0,57.14285714,60.30534351,54.54545455,55.40540541,43.42105263,0,320.7722219
17,335995,5,1,0,53.38983051,38.66666667,77.77777778,53.96825397,53.7037037,1,441.3976974
18,335995,8,0,1,38.66666667,53.38983051,22.22222222,55.81395349,41.86046512,0,598.0942423
19,335996,4,0,1,47.01492537,57.14285714,50,59.375,40.57971014,1,457.3164388
20,335996,7,1,0,57.14285714,47.01492537,50,55.40540541,43.42105263,0,440.5853736
21,335997,2,0,1,50.35971223,53.38983051,50,45.90163934,43.5483871,0,171.6623418
22,335997,5,1,0,53.38983051,50.35971223,50,53.96825397,53.7037037,1,441.917003
23,335998,1,1,1,51.51515152,60.30534351,37.5,55.07246377,43.5483871,0,119.9606883
24,335998,3,0,0,60.30534351,51.51515152,62.5,36.36363636,41.55844156,1,464.8479383
25,335999,7,0,1,57.14285714,38.66666667,60,44.59459459,56.57894737,0,119.8577134
26,335999,8,1,0,38.66666667,57.14285714,40,44.18604651,58.13953488,1,568.8505433
27,336000,4,0,0,47.01492537,42.10526316,55.55555556,59.375,59.42028986,1,401.7082755
28,336000,6,1,1,42.10526316,47.01492537,44.44444444,43.75,31.57894737,0,262.8936596
29,336001,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,0,350.9954645
30,336001,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,1,556.4363584
31,336002,1,0,0,51.51515152,57.14285714,27.77777778,44.92753623,56.4516129,0,210.6458648
32,336002,7,1,1,57.14285714,51.51515152,72.22222222,55.40540541,56.57894737,1,455.0796538
33,336003,2,1,0,50.35971223,42.10526316,64.70588235,54.09836066,56.4516129,0,381.1167066
34,336003,6,0,1,42.10526316,50.35971223,35.29411765,56.25,31.57894737,1,477.6944809
35,336004,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,1,513.7563226
36,336004,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,0,327.9413639
37,336005,1,1,1,51.51515152,53.38983051,40,55.07246377,43.5483871,0,334.332474
38,336005,5,0,0,53.38983051,51.51515152,60,46.03174603,53.7037037,1,512.9783246
39,336006,3,0,0,60.30534351,42.10526316,68.75,36.36363636,41.55844156,0,272.4145352
40,336006,6,1,1,42.10526316,60.30534351,31.25,43.75,31.57894737,1,430.1384605
41,336007,2,1,1,50.35971223,38.66666667,45.45454545,54.09836066,43.5483871,1,443.3996163
42,336007,8,0,0,38.66666667,50.35971223,54.54545455,55.81395349,58.13953488,0,266.6794651
43,336008,1,1,1,51.51515152,47.01492537,68.42105263,55.07246377,43.5483871,0,389.4580294
44,336008,4,0,0,47.01492537,51.51515152,31.57894737,59.375,59.42028986,1,333.4374287
45,336009,6,1,0,42.10526316,57.14285714,50,43.75,68.42105263,0,313.8541008
46,336009,7,0,1,57.14285714,42.10526316,50,44.59459459,56.57894737,1,402.1273356
47,336010,3,1,1,60.30534351,53.38983051,64.70588235,63.63636364,58.44155844,0,89.04506548
48,336010,5,0,0,53.38983051,60.30534351,35.29411765,46.03174603,53.7037037,1,425.0445808
49,336011,2,0,1,50.35971223,47.01492537,44.44444444,45.90163934,43.5483871,0,210.5357632
50,336011,4,1,0,47.01492537,50.35971223,55.55555556,40.625,59.42028986,1,413.1029914
51,336012,3,0,1,60.30534351,38.66666667,60,36.36363636,58.44155844,0,179.7697403
52,336012,8,1,0,38.66666667,60.30534351,40,44.18604651,58.13953488,1,465.3364668
53,336013,5,1,0,53.38983051,57.14285714,37.5,53.96825397,53.7037037,0,172.5314195
54,336013,7,0,1,57.14285714,53.38983051,62.5,44.59459459,56.57894737,1,384.3739126
55,336014,3,1,0,60.30534351,42.10526316,68.75,63.63636364,41.55844156,1,333.695159
56,336014,6,0,1,42.10526316,60.30534351,31.25,56.25,31.57894737,0,468.6362514
57,336015,1,0,0,51.51515152,50.35971223,50,44.92753623,56.4516129,1,279.2394026
58,336015,2,1,1,50.35971223,51.51515152,50,54.09836066,43.5483871,0,316.3495193
59,336016,5,0,1,53.38983051,38.66666667,77.77777778,46.03174603,46.2962963,1,432.7937193
60,336016,8,1,0,38.66666667,53.38983051,22.22222222,44.18604651,58.13953488,0,231.0052053
61,336017,2,0,1,50.35971223,57.14285714,42.10526316,45.90163934,43.5483871,0,67.01322278
62,336017,7,1,0,57.14285714,50.35971223,57.89473684,55.40540541,43.42105263,1,399.7220017
63,336018,3,0,1,60.30534351,47.01492537,58.82352941,36.36363636,58.44155844,1,587.1265577
64,336018,4,1,0,47.01492537,60.30534351,41.17647059,40.625,59.42028986,0,339.8926476
65,336019,1,1,1,51.51515152,38.66666667,77.77777778,55.07246377,43.5483871,1,503.6414736
66,336019,8,0,0,38.66666667,51.51515152,22.22222222,55.81395349,58.13953488,0,326.4350692
67,336020,5,0,1,53.38983051,42.10526316,62.5,46.03174603,46.2962963,1,408.1362075
68,336020,6,1,0,42.10526316,53.38983051,37.5,43.75,68.42105263,0,337.1553385
69,336021,2,1,1,50.35971223,47.01492537,44.44444444,54.09836066,43.5483871,0,153.5357994
70,336021,4,0,0,47.01492537,50.35971223,55.55555556,59.375,59.42028986,1,399.5754842
71,336022,1,0,0,51.51515152,42.10526316,58.82352941,44.92753623,56.4516129,1,366.9292792
72,336022,6,1,1,42.10526316,51.51515152,41.17647059,43.75,31.57894737,0,231.5622695
73,336023,3,1,0,60.30534351,57.14285714,45.45454545,63.63636364,41.55844156,0,196.759889
74,336023,7,0,1,57.14285714,60.30534351,54.54545455,44.59459459,56.57894737,1,498.2391641
75,336024,4,0,1,47.01492537,53.38983051,40,59.375,40.57971014,1,627.308388
76,336024,5,1,0,53.38983051,47.01492537,60,53.96825397,53.7037037,0,359.749566
77,336025,6,0,1,42.10526316,38.66666667,63.63636364,56.25,31.57894737,1,619.8796707
78,336025,8,1,0,38.66666667,42.10526316,36.36363636,44.18604651,58.13953488,0,331.2312639
79,336026,1,1,0,51.51515152,57.14285714,27.77777778,55.07246377,56.4516129,0,61.72705235
80,336026,7,0,1,57.14285714,51.51515152,72.22222222,44.59459459,56.57894737,1,458.1644648
81,336027,4,1,1,47.01492537,42.10526316,55.55555556,40.625,40.57971014,1,299.5953932
82,336027,6,0,0,42.10526316,47.01492537,44.44444444,56.25,68.42105263,0,273.8245879
83,336028,2,1,0,50.35971223,53.38983051,56.25,54.09836066,56.4516129,0,186.7184563
84,336028,5,0,1,53.38983051,50.35971223,43.75,46.03174603,46.2962963,1,534.4763241
85,336029,7,1,0,57.14285714,38.66666667,60,55.40540541,43.42105263,1,380.3516531
86,336029,8,0,1,38.66666667,57.14285714,40,55.81395349,41.86046512,0,322.9571225
87,336030,1,0,0,51.51515152,60.30534351,37.5,44.92753623,56.4516129,0,163.0372707
88,336030,3,1,1,60.30534351,51.51515152,62.5,63.63636364,58.44155844,1,219.5519918
89,336031,2,0,1,50.35971223,42.10526316,58.82352941,45.90163934,43.5483871,0,339.4355409
90,336031,6,1,0,42.10526316,50.35971223,41.17647059,43.75,68.42105263,1,438.8047931
91,336032,1,0,1,51.51515152,53.38983051,40,44.92753623,43.5483871,0,256.2728199
92,336032,5,1,0,53.38983051,51.51515152,60,53.96825397,53.7037037,1,408.7891566
93,336033,4,1,0,47.01492537,57.14285714,50,40.625,59.42028986,1,549.8705253
94,336033,7,0,1,57.14285714,47.01492537,50,44.59459459,56.57894737,0,287.0253346
95,336034,2,1,1,50.35971223,60.30534351,36.84210526,54.09836066,43.5483871,1,316.1083278
96,336034,3,0,0,60.30534351,50.35971223,63.15789474,36.36363636,41.55844156,0,355.8982241
97,336036,4,0,1,47.01492537,38.66666667,70,59.375,40.57971014,1,351.7664512
98,336036,8,1,0,38.66666667,47.01492537,30,44.18604651,58.13953488,0,399.1952856
99,336037,6,0,1,42.10526316,57.14285714,50,56.25,31.57894737,1,565.9874735
100,336037,7,1,0,57.14285714,42.10526316,50,55.40540541,43.42105263,0,320.1504653
101,336038,3,0,0,60.30534351,53.38983051,64.70588235,36.36363636,41.55844156,0,406.508371
102,336038,5,1,1,53.38983051,60.30534351,35.29411765,53.96825397,46.2962963,1,546.4721606
103,336039,2,0,1,50.35971223,38.66666667,45.45454545,45.90163934,43.5483871,1,308.3208608
104,336039,8,1,0,38.66666667,50.35971223,54.54545455,44.18604651,58.13953488,0,383.7510336
105,336040,1,0,0,51.51515152,47.01492537,68.42105263,44.92753623,56.4516129,1,416.3457946
106,336040,4,1,1,47.01492537,51.51515152,31.57894737,40.625,40.57971014,0,416.2794888
107,336041,5,0,1,53.38983051,57.14285714,37.5,46.03174603,46.2962963,1,328.3478237
108,336041,7,1,0,57.14285714,53.38983051,62.5,55.40540541,43.42105263,0,314.9355776
109,336042,3,1,1,60.30534351,38.66666667,60,63.63636364,58.44155844,1,408.4222306
110,336042,8,0,0,38.66666667,60.30534351,40,55.81395349,58.13953488,0,201.1131364
111,336043,5,1,0,53.38983051,42.10526316,62.5,53.96825397,53.7037037,1,588.8216383
112,336043,6,0,1,42.10526316,53.38983051,37.5,56.25,31.57894737,0,332.6560219
113,336044,3,0,0,60.30534351,47.01492537,58.82352941,36.36363636,41.55844156,1,435.3686473
114,336044,4,1,1,47.01492537,60.30534351,41.17647059,40.625,40.57971014,0,80.42671197
115,336045,3,0,1,60.30534351,53.38983051,64.70588235,36.36363636,58.44155844,0,453.2537951
116,336045,5,1,0,53.38983051,60.30534351,35.29411765,53.96825397,53.7037037,1,262.6457941
117,392186,3,0,1,60.30534351,57.14285714,45.45454545,36.36363636,58.44155844,0,304.6375915
118,392186,7,1,0,57.14285714,60.30534351,54.54545455,55.40540541,43.42105263,1,431.8027532
119,392187,2,0,0,50.35971223,53.38983051,50,45.90163934,56.4516129,1,416.7210463
120,392187,5,1,1,53.38983051,50.35971223,50,53.96825397,46.2962963,0,204.603038
121,392188,4,1,0,47.01492537,42.10526316,55.55555556,40.625,59.42028986,0,98.49594987
122,392188,6,0,1,42.10526316,47.01492537,44.44444444,56.25,31.57894737,1,362.7974989
123,392189,1,1,1,51.51515152,38.66666667,77.77777778,55.07246377,43.5483871,0,118.4042434
124,392189,8,0,0,38.66666667,51.51515152,22.22222222,55.81395349,58.13953488,1,492.4889643
125,392190,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,0,120.7809333
126,392190,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,1,579.5109816
127,392191,1,1,0,51.51515152,47.01492537,68.42105263,55.07246377,56.4516129,1,222.9447454
128,392191,4,0,1,47.01492537,51.51515152,31.57894737,59.375,40.57971014,0,183.8848667
129,392193,2,0,0,50.35971223,38.66666667,45.45454545,45.90163934,56.4516129,0,280.3343098
