,POS,PLAYER,CURRENT TEAM,RUNS,BALLS,4s,6s,SR,VS
0,1,David Warner,Sunrisers Hyderabad,126,59,10,8,213.56,Kolkata Knight Riders
1,2,Hashim Amla,Kings XI Punjab,104,60,8,6,173.33,Mumbai Indians
2,3,Hashim Amla,Kings XI Punjab,104,60,8,5,173.33,Gujarat Lions
3,4,Ben Stokes,Rising Pune Supergiant,103,63,7,6,163.49,Gujarat Lions
4,5,Sanju Samson,Delhi Daredevils,102,63,8,5,161.9,Rising Pune Supergiant
5,6,Rishabh Pant,Delhi Daredevils,97,43,6,9,225.58,Gujarat Lions
6,7,Shreyas Iyer,Delhi Daredevils,96,57,15,2,168.42,Gujarat Lions
7,8,Manan Vohra,Kings XI Punjab,95,50,9,5,190.0,Sunrisers Hyderabad
8,9,Chris Lynn,Kolkata Knight Riders,93,41,6,8,226.83,Gujarat Lions
9,10,Rahul Tripathi,Rising Pune Supergiant,93,52,9,7,178.85,Kolkata Knight Riders
10,11,Wriddhiman Saha,Kings XI Punjab,93,55,11,3,169.09,Mumbai Indians
11,12,AB de Villiers,Royal Challengers Bangalore,89,46,3,9,193.48,Kings XI Punjab
12,13,Kane Williamson,Sunrisers Hyderabad,89,51,6,5,174.51,Delhi Daredevils
13,14,Robin Uthappa,Kolkata Knight Riders,87,47,7,6,185.11,Rising Pune Supergiant
14,15,Suresh Raina,Gujarat Lions,84,46,9,4,182.61,Kolkata Knight Riders
15,16,Shaun Marsh,Kings XI Punjab,84,50,14,2,168.0,Sunrisers Hyderabad
16,17,Chris Lynn,Kolkata Knight Riders,84,52,8,3,161.54,Kings XI Punjab
17,18,Steven Smith,Rising Pune Supergiant,84,54,7,3,155.56,Mumbai Indians
18,19,Manish Pandey,Kolkata Knight Riders,81,47,5,5,172.34,Mumbai Indians
19,20,Jos Buttler,Mumbai Indians,77,37,7,5,208.11,Kings XI Punjab

